Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-1.4678955078125;354.214070105695;-3.55499267578125E-06;-1.46728515625;1;1750;0.000133864662284031;-0.000614197832113131;10 µA
-1.46987915039063;354.412434105195;-3.55987548828125E-06;-1.4697265625;1;1751;0.000133864662284031;-0.000614197832113131;10 µA
-1.47186279296875;354.610798104694;-3.564453125E-06;-1.47125244140625;1;1752;0.000133864662284031;-0.000614197832113131;10 µA
-1.47384643554688;354.809162104193;-3.5693359375E-06;-1.473388671875;1;1753;0.000133864662284031;-0.000614197832113131;10 µA
-1.475830078125;355.007526103692;-3.57391357421875E-06;-1.47491455078125;1;1754;0.000133864662284031;-0.000614197832113131;10 µA
-1.47781372070313;355.205890103191;-3.5797119140625E-06;-1.4776611328125;1;1755;0.000133864662284031;-0.000614197832113131;10 µA
-1.47979736328125;355.404254102691;-3.583984375E-06;-1.4794921875;1;1756;0.000133864662284031;-0.000614197832113131;10 µA
-1.48178100585938;355.60261810219;-3.58917236328125E-06;-1.48101806640625;1;1757;0.000133864662284031;-0.000614197832113131;10 µA
-1.4837646484375;355.800982101689;-3.59405517578125E-06;-1.483154296875;1;1758;0.000133864662284031;-0.000614197832113131;10 µA
-1.48574829101563;355.999346101188;-3.59893798828125E-06;-1.48529052734375;1;1759;0.000133864662284031;-0.000614197832113131;10 µA
-1.48773193359375;356.197710100687;-3.6041259765625E-06;-1.4874267578125;1;1760;0.000133864662284031;-0.000614197832113131;10 µA
-1.48971557617188;356.396074100186;-3.6090087890625E-06;-1.48895263671875;1;1761;0.000133864662284031;-0.000614197832113131;10 µA
-1.49169921875;356.594438099686;-3.61358642578125E-06;-1.4910888671875;1;1762;0.000133864662284031;-0.000614197832113131;10 µA
-1.49368286132813;356.792802099185;-3.61907958984375E-06;-1.49322509765625;1;1763;0.000133864662284031;-0.000614197832113131;10 µA
-1.49566650390625;356.991166098684;-3.62396240234375E-06;-1.49505615234375;1;1764;0.000133864662284031;-0.000614197832113131;10 µA
-1.49765014648438;357.189530098183;-3.6297607421875E-06;-1.49749755859375;1;1765;0.000133864662284031;-0.000614197832113131;10 µA
-1.4996337890625;357.387894097682;-3.63525390625E-06;-1.49932861328125;1;1766;0.000133864662284031;-0.000614197832113131;10 µA
-1.50161743164063;357.586258097181;-3.64013671875E-06;-1.50054931640625;1;1767;0.000133864662284031;-0.000614197832113131;10 µA
-1.50360107421875;357.784622096681;-3.64501953125E-06;-1.5032958984375;1;1768;0.000133864662284031;-0.000614197832113131;10 µA
-1.50558471679688;357.98298609618;-3.6505126953125E-06;-1.505126953125;1;1769;0.000133864662284031;-0.000614197832113131;10 µA
-1.507568359375;358.181350095679;-3.6553955078125E-06;-1.50665283203125;1;1770;0.000133864662284031;-0.000614197832113131;10 µA
-1.50955200195313;358.379714095178;-3.660888671875E-06;-1.50909423828125;1;1771;0.000133864662284031;-0.000614197832113131;10 µA
-1.51153564453125;358.578078094677;-3.665771484375E-06;-1.51092529296875;1;1772;0.000133864662284031;-0.000614197832113131;10 µA
-1.51351928710938;358.776442094177;-3.6712646484375E-06;-1.51336669921875;1;1773;0.000133864662284031;-0.000614197832113131;10 µA
-1.5155029296875;358.974806093676;-3.6761474609375E-06;-1.51458740234375;1;1774;0.000133864662284031;-0.000614197832113131;10 µA
-1.51748657226563;359.173170093175;-3.68255615234375E-06;-1.51702880859375;1;1775;0.000133864662284031;-0.000614197832113131;10 µA
-1.51947021484375;359.371534092674;-3.687744140625E-06;-1.51947021484375;1;1776;0.000133864662284031;-0.000614197832113131;10 µA
-1.52145385742188;359.569898092173;-3.6932373046875E-06;-1.52099609375;1;1777;0.000133864662284031;-0.000614197832113131;10 µA
-1.5234375;359.768262091672;-3.69903564453125E-06;-1.5228271484375;1;1778;0.000133864662284031;-0.000614197832113131;10 µA
-1.52542114257813;359.966626091172;-3.70452880859375E-06;-1.52496337890625;1;1779;0.000133864662284031;-0.000614197832113131;10 µA
-1.52740478515625;360.164990090671;-3.709716796875E-06;-1.527099609375;1;1780;0.000133864662284031;-0.000614197832113131;10 µA
-1.52938842773438;360.36335409017;-3.71612548828125E-06;-1.52862548828125;1;1781;0.000133864662284031;-0.000614197832113131;10 µA
-1.5313720703125;360.561718089669;-3.72100830078125E-06;-1.53106689453125;1;1782;0.000133864662284031;-0.000614197832113131;10 µA
-1.53335571289063;360.760082089168;-3.7261962890625E-06;-1.533203125;1;1783;0.000133864662284031;-0.000614197832113131;10 µA
-1.53533935546875;360.958446088668;-3.73199462890625E-06;-1.5350341796875;1;1784;0.000133864662284031;-0.000614197832113131;10 µA
-1.53732299804688;361.156810088167;-3.736572265625E-06;-1.53717041015625;1;1785;0.000133864662284031;-0.000614197832113131;10 µA
-1.539306640625;361.355174087666;-3.7420654296875E-06;-1.539306640625;1;1786;0.000133864662284031;-0.000614197832113131;10 µA
-1.54129028320313;361.553538087165;-3.74755859375E-06;-1.54083251953125;1;1787;0.000133864662284031;-0.000614197832113131;10 µA
-1.54327392578125;361.751902086664;-3.75274658203125E-06;-1.54266357421875;1;1788;0.000133864662284031;-0.000614197832113131;10 µA
-1.54525756835938;361.950266086163;-3.7591552734375E-06;-1.54510498046875;1;1789;0.000133864662284031;-0.000614197832113131;10 µA
-1.5472412109375;362.148630085663;-3.7646484375E-06;-1.54632568359375;1;1790;0.000133864662284031;-0.000614197832113131;10 µA
-1.54922485351563;362.346994085162;-3.770751953125E-06;-1.54876708984375;1;1791;0.000133864662284031;-0.000614197832113131;10 µA
-1.55120849609375;362.545358084661;-3.77655029296875E-06;-1.55059814453125;1;1792;0.000133864662284031;-0.000614197832113131;10 µA
-1.55319213867188;362.74372208416;-3.78204345703125E-06;-1.55303955078125;1;1793;0.000133864662284031;-0.000614197832113131;10 µA
-1.55517578125;362.942086083659;-3.78814697265625E-06;-1.55426025390625;1;1794;0.000133864662284031;-0.000614197832113131;10 µA
-1.55715942382813;363.140450083158;-3.7939453125E-06;-1.5570068359375;1;1795;0.000133864662284031;-0.000614197832113131;10 µA
-1.55914306640625;363.338814082658;-3.800048828125E-06;-1.55853271484375;1;1796;0.000133864662284031;-0.000614197832113131;10 µA
